0.1428571429	0.873786	0.0247525	1.98333
0.2	0.716667	0.0687184	1.93023
0.2571428571	0.857143	0.0381802	1.70238
0.3142857143	0.856757	0.0113599	1.74238
0.3714285714	0.875	0.0245145	1.8022
0.3714285714	0.792683	0.0502818	1.63077
0.5428571429	0.895161	0.0205606	1.54955
0.6	0.835616	0.0474534	1.78689
			
0.9	0.875752	0.0157796	1.56522
1.15	0.891234	0.0132879	1.55738
1.4	0.883249	0.0140552	1.53257
1.525	0.83878	0.0187414	1.42338
1.775	0.857671	0.0162199	1.42026
2.025	0.85447	0.0173942	1.37956
2.275	0.845763	0.0161685	1.41483
2.525	0.8	0.019245	1.3588
3.15	0.804286	0.016721	1.33037
3.775	0.739206	0.0212232	1.26402
4.4	0.647362	0.0213037	1.18091
5.025	0.592593	0.0210665	1.22794
5.65	0.350529	0.0293102	1.1434
6.275	0.0526316	0.0394737	1.28125

